Data In (From Silicon Labs CP210x USB to UART Bridge (COM3)),,,,,,,,,,
Data coming from the current data source will appear below as it is received.,,,,,,,,,,
Current Data,,,,,,,,,,
TIME,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10
21:31:22.51,Selected Mode: Power-down Mode,,,,,,,,,
Historical Data,,,,,,,,,,
TIME,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10
21:31:20.04,0,20.14,0,2414.31,,,,,,
21:31:20.06,1,20.12,0.01,2.27,,,,,,
21:31:20.09,2,20.14,0.02,0.56,,,,,,
21:31:20.10,3,20.12,0.03,0.1,,,,,,
21:31:20.13,4,20.14,0.03,0.07,,,,,,
21:31:20.14,5,20.14,0.04,0.1,,,,,,
21:31:20.14,6,20.14,0.05,0.06,,,,,,
21:31:20.14,7,20.14,0.06,0.04,,,,,,
21:31:20.16,8,20.14,0.07,0.07,,,,,,
21:31:20.17,9,20.14,0.08,0.23,,,,,,
21:31:20.19,10,20.14,0.08,0.2,,,,,,
21:31:20.21,11,20.14,0.09,0.12,,,,,,
21:31:20.23,12,20.14,0.1,0.15,,,,,,
21:31:20.25,13,20.14,0.11,0.16,,,,,,
21:31:20.28,14,20.14,0.12,0.05,,,,,,
21:31:20.29,15,20.17,0.12,0.08,,,,,,
21:31:20.32,16,20.17,0.13,0.07,,,,,,
21:31:20.33,17,20.17,0.14,0.05,,,,,,
21:31:20.36,18,20.17,0.15,0.12,,,,,,
21:31:20.38,19,20.17,0.16,0.08,,,,,,
21:31:20.40,20,20.17,0.17,0.07,,,,,,
21:31:20.42,21,20.17,0.17,0.14,,,,,,
21:31:20.44,22,20.17,0.18,0.13,,,,,,
21:31:20.46,23,20.17,0.19,0.1,,,,,,
21:31:20.48,24,20.14,0.2,0.03,,,,,,
21:31:20.50,25,20.17,0.21,0.08,,,,,,
21:31:20.52,26,20.17,0.22,0.1,,,,,,
21:31:20.55,27,20.17,0.22,0.09,,,,,,
21:31:20.56,28,20.17,0.23,0.08,,,,,,
21:31:20.59,29,20.17,0.24,0.03,,,,,,
21:31:20.60,30,20.17,0.25,0.11,,,,,,
21:31:20.63,31,20.17,0.26,0.1,,,,,,
21:31:20.65,32,20.17,0.27,0.1,,,,,,
21:31:20.67,33,20.17,0.27,0.16,,,,,,
21:31:20.69,34,20.14,0.28,0.09,,,,,,
21:31:20.71,35,20.14,0.29,0.09,,,,,,
21:31:20.73,36,20.14,0.3,0.08,,,,,,
21:31:20.75,37,20.14,0.31,0.16,,,,,,
21:31:20.77,38,20.14,0.32,0.12,,,,,,
21:31:20.80,39,20.14,0.32,0.14,,,,,,
21:31:20.82,40,20.14,0.33,0.03,,,,,,
21:31:20.84,41,20.14,0.34,0.03,,,,,,
21:31:20.86,42,20.14,0.35,0.05,,,,,,
21:31:20.88,43,20.14,0.36,0.02,,,,,,
21:31:20.90,44,20.14,0.37,0.05,,,,,,
21:31:20.92,45,20.14,0.37,0.04,,,,,,
21:31:20.93,46,20.12,0.38,0.11,,,,,,
21:31:20.96,47,20.12,0.39,0.05,,,,,,
21:31:20.98,48,20.14,0.4,0.13,,,,,,
21:31:21.00,49,20.14,0.41,0.05,,,,,,
21:31:21.02,50,20.12,0.42,0.05,,,,,,
21:31:21.04,51,20.12,0.43,0.09,,,,,,
21:31:21.07,52,20.12,0.43,0.04,,,,,,
21:31:21.08,53,20.12,0.44,0.1,,,,,,
21:31:21.11,54,20.12,0.45,0.1,,,,,,
21:31:21.13,55,20.12,0.46,0.14,,,,,,
